title,category,winner
수비드 그릭 요거트라고 들어보셨나요 급이 다른 신선함   꾸덕꾸덕 그릭픽,푸드,0
제주의 귤꽃향 가득한 초당옥수수 재배와 함께 드셔보세요,푸드,0
     앵콜펀딩   청정통카츠 정성스레 튀기고 한번 더 구웠습니다 ,푸드,0
난리난 땅콩버터주스   핫한 식단관리   검색만해도 후기폭발,푸드,0
 대만억펀딩  죄책감 없이 일탈 가능한 단백질 가득 프로틴 무알콜 맥주 ,푸드,1
 한정판 과일  체리와 자두의 달 콤새 콤한 만남  신품종 체리자두  ,푸드,1
 밀쉐이크  맛과 기능을 다  욕심쟁이 단백질 쉐이크 등장 ,푸드,1
 한정판  올 여름을 책임질 오뚜기 함흥비빔면이 돌아왔습니다 ,푸드,1
한국판 납작복숭아가 와디즈로  집에서 직접 즐기는 대극천복숭아,푸드,1
 신선복숭아  남다른 진한 맛과 향기  초여름 신비의 프리미엄 복숭아,푸드,0
 평점    사장님 진짜 이 가격 맞아요  무농약인증받은 미친 생블루베리,푸드,0
 국수혁명  세상에 없던 초초간편   초면 익는 국수 등장  스치면,푸드,0
        마지막 앵콜  단      원  초간편하고 맛있는 인생국밥,푸드,0
